age	O. umbonatus	O. umbonatus	5 pt moving average	5 pt  	% coarse	5 pt 	DCO3= 	DCO3= 	Temp 	BWT	d18O	5 point 	d13C	5 point 	seawater 	seawater 
(Ma)	Li/Ca	Mg/Ca	Li/Ca	moving		 moving	assuming 	assuming 	assuming 	assuming no 	C.mundulus	moving 	C.mundulus	moving 	d18O	d18O
	(umol/mol)	(mmol/mol)	(umol/mol)	average		average	DCO3= 	DCO3= 	BWT at 	saturation 	(per mille) PDB	average	(per mille) PDB	average	 (PDB) (per mille)	 (PDB) (per mille)
				Mg/Ca		% coarse	at 16.975Ma	at 16.975Ma	16.975Ma 	correction	unadjusted	d18O 	unadjusted	d13C	using 	using 
				(mmol/mol)			=0 umol/kg	=0 umol/kg	10.25	necessary 		(per mille) PDB		(per mille) PDB	corrected 	uncorrected 
							using	using		(above threshold)		unadjusted		unadjusted	BWT	BWT
							" ""corrected"" "	" ""uncorrected"" "								
							BWT	BWT								

12.339	13.9	2.35	14.8	2.29	37	34	-14.7	-32.7	8.8	7.7	2.03	2.16	0.78	0.8	0.64	0.35
12.32	14.3	2.3	14.7	2.24	32	33	-19.7	-43.5	8.7	7.2	2.22	2.15	0.74	0.78	0.6	0.22
12.301	14.9	2.31	14.3	2.26	33	33	-21.2	-46.6	9.1	7.4	2.11	2.17	0.77	0.81	0.71	0.31
12.281	13.9	2.19	14.1	2.21	31	31	-26.1	-57.2	9	7	2.29	2.2	0.82	0.84	0.73	0.23
12.243	14.7	2.17	14.2	2.2	32	30	-26.2	-57.4	8.9	6.9	2.22	2.23	0.96	0.89	0.73	0.23
12.224	13	2.1	14.2	2.21	27	30	-25.9	-56.8	9	7	2.18	2.26	0.93	0.93	0.78	0.29
12.205	14.7	2.23	14.4	2.22	30	29	-23.4	-51.5	8.8	7.1	2.38	2.29	0.99	0.94	0.78	0.33
12.186	14.6	2.37	14.6	2.23	30	29	-20.7	-45.6	8.7	7.1	2.24	2.31	0.95	0.95	0.77	0.37
12.149	15	2.22	15.1	2.23	28	28	-15.7	-35	8.4	7.2	2.45	2.32	0.89	0.88	0.7	0.39
12.131	15.7	2.22	15.1	2.26	31	28	-13.9	-31.1	8.5	7.4	2.31	2.27	1	0.84	0.68	0.41
12.112	15.4	2.11	15.1	2.26	22	29	-13.5	-30.2	8.5	7.4	2.24	2.28	0.6	0.85	0.68	0.41
12.094	14.6	2.4	15.2	2.26	29	30	-12.6	-28.2	8.4	7.4	2.13	2.23	0.78	0.85	0.62	0.37
12.076	14.9	2.35	14.9	2.28	35	31	-14.8	-32.9	8.7	7.6	2.28	2.23	0.98	0.82	0.68	0.39
12.058	15.3	2.24	14.7	2.34	33	33	-12.7	-28.2	9.1	8.1	2.2	2.25	0.92	0.88	0.8	0.55
12.04	14.2	2.28	14.8	2.32	34	32	-12.5	-27.7	8.9	8	2.27	2.22	0.83	0.85	0.73	0.49
12.022	14.4	2.45	14.7	2.3	36	31	-14.8	-32.8	8.9	7.8	2.35	2.21	0.91	0.82	0.72	0.43
12.004	15.2	2.3	15	2.3	24	30	-12.6	-28.1	8.7	7.7	2	2.21	0.62	0.79	0.67	0.42
11.987	14.5	2.23	15	2.26	27	29	-14	-31.3	8.5	7.4	2.25	2.19	0.84	0.82	0.6	0.33
11.952	16.5	2.22	15	2.23	27	27	-16.9	-37.7	8.4	7.1	2.19	2.17	0.78	0.83	0.56	0.23
11.935	14.5	2.12	15	2.25	29	27	-15.7	-34.9	8.6	7.3	2.17	2.22	0.97	0.89	0.63	0.33
11.918	14.1	2.26	14.8	2.26	26	28	-16.6	-36.9	8.7	7.4	2.26	2.22	0.96	0.91	0.67	0.35
11.884	15.1	2.43	14.4	2.23	26	28	-22.4	-49.2	8.9	7.2	2.23	2.28	0.91	0.94	0.78	0.35
11.868	13.8	2.27	14.4	2.2	30	27	-24.7	-54.4	8.8	6.9	2.28	2.31	0.94	0.95	0.78	0.31
11.851	14.5	2.08	14.3	2.2	26	26	-25.5	-56	8.8	6.9	2.46	2.32	0.93	0.94	0.8	0.31
11.803	14.4	1.95	14.1	2.15	25	26	-30.1	-66	8.8	6.5	2.33	2.33	1.01	0.95	0.8	0.23
11.772	13.9	2.24	14.1	2.1	26	25	-33.2	-72.9	8.6	6	2.31	2.35	0.92	0.97	0.77	0.14
11.756	14.1	2.21	14	2.13	24	25	-32.6	-71.4	8.7	6.3	2.28	2.28	0.94	1.04	0.74	0.12
11.741	13.8	2.02	13.8	2.19	23	25	-30.4	-66.4	9.1	6.8	2.37	2.26	1.06	1.03	0.82	0.25
11.726	14	2.22	13.6	2.24	26	26	-30.2	-65.9	9.5	7.2	2.08	2.3	1.27	1.04	0.95	0.38
11.696	13.5	2.28	13.7	2.27	27	27	-27.4	-59.8	9.5	7.5	2.27	2.3	0.95	1.05	0.96	0.45
11.682	12.5	2.47	13.7	2.29	30	29	-25.8	-56.2	9.6	7.7	2.47	2.3	0.95	0.98	0.98	0.5
11.668	14.6	2.36	13.7	2.28	29	29	-26.3	-57.4	9.6	7.6	2.29	2.37	1	0.92	1.04	0.55
11.639	13.8	2.15	13.8	2.29	31	30	-24.5	-53.4	9.5	7.7	2.38	2.38	0.7	0.93	1.03	0.57
11.612	14	2.17	14.6	2.23	28	29	-21.1	-46.5	8.7	7.1	2.43	2.35	0.99	0.93	0.81	0.4
11.599	14.3	2.3	14.3	2.2	30		-25.5	-55.9	8.8	6.9	2.34	2.35	1	0.94	0.83	0.34
